q25,iqr,meanfun,gender_encoded
0.0965817277812306,0.111373523927906,0.0889648485504597,1
0.0787202178352621,0.127324710687543,0.106397844620363,1
0.0679579929988331,0.141633605600933,0.110131920122721,1
0.0928989361702128,0.11281914893617,0.105944515254121,1
0.110532168387609,0.121429706115965,0.093052430337196,1
0.0882062780269058,0.120381165919283,0.0967289462068476,1
0.0755799890049478,0.126377130291369,0.105880926304665,1
0.087313829787234,0.115425531914894,0.104199318686673,1
0.0831448992852502,0.126081871345029,0.0926440193108201,1
0.128838821490468,0.100693240901213,0.131503722276956,1
0.129148665819568,0.111003811944091,0.102798695064569,1
0.115601979109401,0.112677295217152,0.102045991451092,1
0.132280462899932,0.112076242341729,0.113322801479182,1
0.122390852390852,0.121226611226611,0.0797183122032528,1
0.115755909840572,0.124068169323804,0.0834840221276007,1
0.12368021438142,0.120553818669049,0.0901295386406535,1
0.120070011668611,0.125297549591599,0.0935735125050573,1
0.128673139158576,0.125501618122977,0.0986434101933255,1
0.113929618768328,0.113519061583578,0.0625416438604246,1
0.123988842398884,0.126136680613668,0.0776984149257884,1
0.120924040720439,0.116319498825372,0.0989441461784293,1
0.118698328935796,0.121776605101143,0.0829626113523638,1
0.116706484641638,0.121843003412969,0.0824513207182936,1
0.12580050293378,0.122514668901928,0.130598327687847,1
0.122173913043478,0.117826086956522,0.120052183696988,1
0.12954128440367,0.122935779816514,0.126607440767276,1
0.0927311827956989,0.121634408602151,0.067407498731641,1
0.122075055187638,0.123002207505519,0.127719891241989,1
0.131057884231537,0.125469061876248,0.132726095827914,1
0.123529411764706,0.123529411764706,0.124684801647241,1
0.127706422018349,0.125137614678899,0.124533185752238,1
0.121398601398601,0.117972027972028,0.120254421255631,1
0.136021650879567,0.0735047361299053,0.14274825093861,1
0.134295692665891,0.0726891734575087,0.131376326043577,1
0.128810916179337,0.117076023391813,0.127529186441539,1
0.131202482544608,0.114910783553142,0.141183374968156,1
0.0971037911746426,0.116246115599751,0.0815637605876064,1
0.116846986089645,0.11273570324575,0.101681481312411,1
0.0990851334180432,0.112426937738246,0.0955971184790345,1
0.115982404692082,0.11208211143695,0.101718928392445,1
0.094867762687634,0.105475339528234,0.0975316074241821,1
0.111085180863477,0.113372228704784,0.0804598268608848,1
0.110681244743482,0.116804037005887,0.0555653493134555,1
0.104452008168822,0.114744724302246,0.101394916344673,1
0.0889151873767258,0.117357001972387,0.0988725568207706,1
0.0876448457486832,0.112716328066215,0.0907510578606786,1
0.0907242693773825,0.110470139771283,0.101394760053795,1
0.090594431903687,0.111452219714071,0.10931955897609,1
0.102439024390244,0.11703952901598,0.112256409519415,1
0.0878592375366569,0.123988269794721,0.103669506141437,1
0.0906082725060827,0.117007299270073,0.103249560132626,1
0.0306849315068493,0.184609886837403,0.13088752476873,1
0.0499860529986053,0.178856345885635,0.134314212930999,1
0.0440922768304915,0.100260782347041,0.11735932113776,1
0.057306245297216,0.14410835214447,0.114742725576693,1
0.101732548359966,0.109503784693019,0.120815368736238,1
0.0962287104622871,0.136423357664234,0.110260302595747,1
0.0889668615984405,0.144821312540611,0.103803136925715,1
0.112314901593252,0.137113402061856,0.117022268767263,1
0.0980700500357398,0.130092923516798,0.13173357253806,1
0.097152466367713,0.125089686098655,0.117297835854505,1
0.135475024485798,0.0452497551420176,0.141810406232866,1
0.128475609756098,0.061890243902439,0.121546253854253,1
0.146420488385944,0.0702084574151281,0.130983327622666,1
0.125607476635514,0.0752721275426058,0.1320890637034,1
0.125556051808843,0.107923179991067,0.13207536515551,1
0.107562688064193,0.113179538615848,0.102626438195762,1
0.185332211942809,0.0508662741799832,0.165155381420022,1
0.08506075768406,0.112080057183703,0.0811647388389725,1
0.156899618805591,0.0636848792884371,0.152012544664004,1
0.143045369794904,0.104586699813549,0.138197601338005,1
0.150900243309002,0.0754501216545012,0.133717449833834,1
0.166599166170339,0.0768790946992257,0.159106930950445,1
0.148266003729024,0.0668241143567433,0.149386704207801,1
0.133773824650572,0.104777636594663,0.139378257554087,1
0.152603406326034,0.0568856447688564,0.147350976702408,1
0.156131202691337,0.0923128679562658,0.168037875611255,1
0.139673278879813,0.0955659276546091,0.0805950835937903,1
0.154049008168028,0.0852742123687281,0.0810174945556461,1
0.153190383365822,0.0755035737491878,0.0658274488077331,1
0.149365351629503,0.0934934248141795,0.0783628522638268,1
0.148161434977578,0.0941704035874439,0.0634751795141267,1
0.152484683458135,0.0886317222600409,0.0831278932777531,1
0.163790849673203,0.0718300653594771,0.0815047321003695,1
0.155806451612903,0.0810850439882698,0.112022748363408,1
0.159706744868035,0.0819061583577713,0.0721357331534655,1
0.162992700729927,0.0945255474452555,0.0730513263239538,1
0.124471403812825,0.118162911611785,0.110565779153581,1
0.111653786707883,0.115332302936631,0.101841480111182,1
0.0988331388564761,0.112392065344224,0.0975134643401617,1
0.118938053097345,0.110170183798502,0.126955522654226,1
0.121222879684418,0.12508875739645,0.111031615755806,1
0.12558352402746,0.104439359267735,0.128124206391229,1
0.126414708886619,0.121266598569969,0.125992935846246,1
